window,cadence,transform,metric,value
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,baseline,max_drawdown_pct,-0.02432035100755622
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,baseline,information_ratio_vs_bh,-0.6493735340007419
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,baseline,avg_turnover,0.6312203424852537
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.0),n_rebalances,3.0
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.0),net_cum_return_pct,19.326902117948666
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.0),sharpe,2.8845955127734735
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.0),max_drawdown_pct,-0.011527024948869499
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.0),information_ratio_vs_bh,-2.439152668995484
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.0),avg_turnover,0.5841090276725321
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.5),n_rebalances,3.0
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.5),net_cum_return_pct,19.080119844945983
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.5),sharpe,3.3053085841599135
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.5),max_drawdown_pct,-0.014503832367745726
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.5),information_ratio_vs_bh,-1.6606107075429484
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,sector_neutral (blend=0.5),avg_turnover,0.6997544381985993
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,beta_adjusted (lam=0.5),n_rebalances,3.0
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,beta_adjusted (lam=0.5),net_cum_return_pct,11.128153998075195
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,beta_adjusted (lam=0.5),sharpe,2.8561073169538207
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,beta_adjusted (lam=0.5),max_drawdown_pct,-0.021291202453560077
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,beta_adjusted (lam=0.5),information_ratio_vs_bh,-2.716101984443809
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,beta_adjusted (lam=0.5),avg_turnover,0.6807299119507828
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,vol_adjusted (lam=0.5),n_rebalances,3.0
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,vol_adjusted (lam=0.5),net_cum_return_pct,12.974218005975292
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,vol_adjusted (lam=0.5),sharpe,3.040351417362574
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,vol_adjusted (lam=0.5),max_drawdown_pct,-0.019947968795679262
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,vol_adjusted (lam=0.5),information_ratio_vs_bh,-2.5132625061385636
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),monthly,vol_adjusted (lam=0.5),avg_turnover,0.6589206486455979
