window,slice_type,slice_value,metric,value
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-06,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-07,pooled_ic,-0.285676
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-07,mean_ic,-0.288055
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-07,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-08,pooled_ic,0.13185
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-08,mean_ic,0.14385
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-08,n_obs,100.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-09,pooled_ic,0.133991
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-09,mean_ic,0.12435
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-09,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-10,pooled_ic,0.020142
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-10,mean_ic,0.030252
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-10,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-11,pooled_ic,-0.094803
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-11,mean_ic,-0.132529
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-11,n_obs,100.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-12,pooled_ic,-0.131613
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-12,mean_ic,-0.133868
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-12,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2025-01,pooled_ic,-0.088154
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2025-01,mean_ic,-0.119273
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2025-01,n_obs,100.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2025-02,pooled_ic,-0.493064
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2025-02,mean_ic,-0.488251
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2025-02,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,avg_book_beta,1.006275
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,avg_universe_beta,1.006174
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,mean_selected_fwd21,0.01585
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,mean_universe_fwd21,0.009579
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,edge_vs_universe,0.006271
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,book_hhi,0.633721
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,top_sector_share,0.633721
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,avg_turnover,0.388235
Pre-Training OOS (2023-07-01 to 2025-03-01),selected_book,all,cost_drag_per_rebal,0.000388
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_sector,Capital Goods,cum_contribution,0.277637
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_sector,Health Care,cum_contribution,0.257262
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_sector,Transportation,cum_contribution,0.161455
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_sector,Finance,cum_contribution,-0.002621
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_sector,Technology,cum_contribution,-0.036362
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,ACIU,cum_contribution,0.374358
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,AAON,cum_contribution,0.277637
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,AAL,cum_contribution,0.161455
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,ABEO,cum_contribution,0.098125
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,ABUS,cum_contribution,0.057266
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,ACNB,cum_contribution,-0.002621
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,AAOI,cum_contribution,-0.036362
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,ACAD,cum_contribution,-0.047176
Pre-Training OOS (2023-07-01 to 2025-03-01),contribution_ticker,ACHV,cum_contribution,-0.225312
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,1,mean_fwd21,0.046645
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,1,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,2,mean_fwd21,-0.001895
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,2,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,3,mean_fwd21,-0.003211
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,3,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,4,mean_fwd21,0.020356
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,4,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,5,mean_fwd21,0.001457
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,5,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,6,mean_fwd21,0.00421
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,6,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,7,mean_fwd21,0.019551
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,7,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,8,mean_fwd21,-0.020804
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,8,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,9,mean_fwd21,0.014991
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,9,n,172.0
